invocation_id,run_id,source_family,batch,agent,model,mode,benchmark,role,tool,is_bash,primary_category,categories,exit_code,status,workdir,description,inner_command,raw_command,source_path,source_line,source_format,extractor_version,exit_bucket,command_hash,command_length,category_count
1,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation|shell_output_logging,0,completed,,,"ls -la
pwd
echo '---'
ls -la audit
echo '--- README'
sed -n '1,200p' audit/README.md","ls -la
pwd
echo '---'
ls -la audit
echo '--- README'
sed -n '1,200p' audit/README.md",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,2,traj-action,stable_schema,zero,1769542b5044ad99,84,2
2,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,environment_process|file_read_navigation|shell_control_flow,0,completed,,,"set -e
pwd
ls -la audit
ls -la audit/claimer
sed -n '1,240p' audit/claimer/src/Claimer.sol
sed -n '1,240p' audit/claimer/src/libraries/LinearVRGDALib.sol
ls -la audit/prize-pool/src
sed -n '1,240p' audit/prize-pool/src/PrizePool.sol
sed -n '1,240p' audit/prize-pool/src/abstract/TieredLiquidityDistributor.sol
sed -n '1,240p' audit/prize-pool/src/libraries/DrawAccumulatorLib.sol
sed -n '1,240p' audit/prize-pool/src/libraries/TierCalculationLib.sol
sed -n '1,240p' audit/prize-pool/src/libraries/UD34x4.sol
ls -la audit/twab-controller/src
sed -n '1,240p' audit/twab-controller/src/TwabController.sol || true
sed -n '1,240p' audit/twab-controller/src/libraries/ObservationLib.sol
ls -la audit/vault/src
sed -n '1,240p' audit/vault/src/Vault.sol
sed -n '1,240p' audit/vault/src/VaultFactory.sol","set -e
pwd
ls -la audit
ls -la audit/claimer
sed -n '1,240p' audit/claimer/src/Claimer.sol
sed -n '1,240p' audit/claimer/src/libraries/LinearVRGDALib.sol
ls -la audit/prize-pool/src
sed -n '1,240p' audit/prize-pool/src/PrizePool.sol
sed -n '1,240p' audit/prize-pool/src/abstract/TieredLiquidityDistributor.sol
sed -n '1,240p' audit/prize-pool/src/libraries/DrawAccumulatorLib.sol
sed -n '1,240p' audit/prize-pool/src/libraries/TierCalculationLib.sol
sed -n '1,240p' audit/prize-pool/src/libraries/UD34x4.sol
ls -la audit/twab-controller/src
sed -n '1,240p' audit/twab-controller/src/TwabController.sol || true
sed -n '1,240p' audit/twab-controller/src/libraries/ObservationLib.sol
ls -la audit/vault/src
sed -n '1,240p' audit/vault/src/Vault.sol
sed -n '1,240p' audit/vault/src/VaultFactory.sol
",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,4,traj-action,stable_schema,zero,a42fb2445bd37ebe,794,3
3,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '1,400p' audit/prize-pool/src/PrizePool.sol","sed -n '1,400p' audit/prize-pool/src/PrizePool.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,6,traj-action,stable_schema,zero,717145857a409f9a,50,1
4,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '400,800p' audit/prize-pool/src/PrizePool.sol","sed -n '400,800p' audit/prize-pool/src/PrizePool.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,8,traj-action,stable_schema,zero,7be48a7ff13735fd,52,1
5,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '800,1600p' audit/prize-pool/src/PrizePool.sol","sed -n '800,1600p' audit/prize-pool/src/PrizePool.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,10,traj-action,stable_schema,zero,ca17a4877fec555f,53,1
6,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"ls -R audit | sed -n '1,200p'","ls -R audit | sed -n '1,200p'",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,12,traj-action,stable_schema,zero,30a077cc823991bb,29,1
7,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '1,400p' audit/prize-pool/src/abstract/TieredLiquidityDistributor.sol","sed -n '1,400p' audit/prize-pool/src/abstract/TieredLiquidityDistributor.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,14,traj-action,stable_schema,zero,51d0ad3ff009897e,76,1
8,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '400,800p' audit/prize-pool/src/abstract/TieredLiquidityDistributor.sol","sed -n '400,800p' audit/prize-pool/src/abstract/TieredLiquidityDistributor.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,16,traj-action,stable_schema,zero,f812babc87125b69,78,1
9,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '1,400p' audit/vault/src/Vault.sol","sed -n '1,400p' audit/vault/src/Vault.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,18,traj-action,stable_schema,zero,d3610b1265ee8f53,41,1
10,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,,yudai-minisweagent,,detect,2023-07-pooltogether,unknown,bash,True,file_read_navigation,file_read_navigation,0,completed,,,"sed -n '400,800p' audit/vault/src/Vault.sol","sed -n '400,800p' audit/vault/src/Vault.sol",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,20,traj-action,stable_schema,zero,72755631933a214f,43,1
